"Animation Type","Purpose/Effect"
"Entrance Animations","First impression, focus attention"
"Micro-Interactions","Usability, feedback, delight"
"Scroll-Triggered Animations","Storytelling, immersion"
"3D Object/Scene Animations","Depth, realism, tactile interaction"
"Page Transition Animations","Continuity, navigation polish"
"Animated Backgrounds/Hero","Atmosphere, immediate engagement"
"Loading/Skeleton Screens","Engagement during loading"
"Interactive Navigation","Intuitive, visually appealing navigation"
"Hover/Accent Animations","Visual cues, personality"
"Storytelling/Motion Path","Narrative, guided experience"
